,Text,Category
0,"Moeller's student-run newspaper, The Crusader, is consistently recognized as being one of the top in the region.",Politics and Governance
1,"In 2008, The Crusader won First Place, the second-highest honor a high school newspaper can receive from the American Scholastic Press Association [REF].",Business and Economy
2,"The Squire is a student literary journal that features stories, poems, and essays written by Moeller students.",Politics and Governance
3,Paul Keels - play-by-play announcer for Ohio State University football and basketball on WBNS-FM .,
4,Joe Uecker - Ohio State Senator (R-66) .,Politics and Governance
5,Rico Murray - Undrafted free agent signee by the Cincinnati Bengals.,Health and Lifestyle
6,Tony Hunter - professional football player for Buffalo Bills and Los Angeles Rams.,Sports and Entertainment
7,Jack Norris - President and co-founder of Vegan Outreach .,Health and Lifestyle
8,"Archbishop Moeller High School was established in Fall 1958 when Archbishop Karl J. Alter appointed Monsignor Edward A. McCarthy and Brother Paul Sibbing, S.M., to supervise the planning and construction of a new high school near Montgomery, Ohio.",Politics and Governance
9,"Moeller High School opened its doors in September 1960, along with La Salle High School, a fellow Cincinnati Archdiocesan school.",Politics and Governance
10,"When it opened its doors in 1960, Moeller High School received students from over 15 parishes in the northeastern part of the Greater Cincinnati area, drawing from Roger Bacon High School and Purcell Marian High School, two other all-male comprehensive Cincinnati Archdiocesan schools.",Politics and Governance
11,"Starting with the freshman class of 1999, Moeller High School adopted a new laptop program.",Technology and Science
12,"Quite a number of countermeasures have been installed to counteract misuse of the computers, including web filtering, to monitor how students use their computers.",Technology and Science
13,The Moeller art program is a nationally recognized four-year program which culminates in Advanced Placement Studio Art and Art History [REF].,World News and Social Issues
14,The Moeller Crusaders have a long history of athletic success.,Sports and Entertainment
15,The lacrosse team have won two state titles and have been a constant force in the state and midwest.,Sports and Entertainment
16,"Moeller High School's athletic teams - with the exception of boxing, lacrosse, skiing, and volleyball - are sanctioned by the Ohio High School Athletic Association (OHSAA) and compete in the Greater Catholic League South, along with Elder, St. Xavier and La Salle High Schools.",Sports and Entertainment
17,"Recently, Moeller unveiled plans to build a multipurpose stadium on campus (named Gerry Faust Athletic Complex with an 8-foot bronze statue honoring him at the entrance); however, the plan faced strong criticism from neighboring homeowners, and Moeller's request to change the zoning regulation was denied.",Sports and Entertainment
18,The 2007 title went to the second team in Ohio high school boys' volleyball history to go undefeated.,Sports and Entertainment
19,The circular flow diagram is an abstraction of the economy as a whole.,Business and Economy
20,"The abstraction ignores the linear throughput of matter and energy that must power the continuous motion of money, goods and services, and factors of production.",Business and Economy
21,"This is not to say that the circular flow diagram is useful in understanding the basics of an economy, such as leakages and injections.",Business and Economy
22,The circular flow of income is a concept for better understanding of the economy as a whole and for example the National Income and Product Accounts (NIPAs).,Business and Economy
23,"Alternatively, one can think of these transactions in terms of the monetary flows that occur.",Business and Economy
24,"The circular flow diagram illustrates the interdependence of the ""flows,"" or activities, that occur in the economy, such as the production of goods and services (or the ""output"" of the economy) and the income generated from that production.",Business and Economy
25,"Of course, the total economy is much more complicated than the illustration above.",Business and Economy
26,"] One of the earliest ideas on the circular flow was explained in the work of 18th century Irish-French economist Richard Cantillon,[REF] who was influenced by prior economists, especially William Petty [REF].",Business and Economy
27,"François Quesnay further developed these concepts, and was the first to visualize these interactions over time in the so-called Tableau économique [REF].",Business and Economy
28,"First, regulation impedes the flow of income throughout all social classes and therefore economic development.",Business and Economy
29,"Second, taxes on the productive classes such as farmers should be reduced in favor of higher taxes for unproductive classes such as landowners, since their luxurious way of life distorts the income flow.",Business and Economy
30,"In Marxian economics, economic reproduction refers to recurrent (or cyclical) processes[REF] by which the initial conditions necessary for economic activity to occur are constantly re-created [REF].",Business and Economy
31,"Economic reproduction involves the physical production and distribution of goods and services, the trade (the circulation via exchanges and transactions) of goods and services, and the consumption of goods and services (both productive or intermediate consumption and final consumption).",Business and Economy
32,"Marx distinguishes between ""simple reproduction"" and ""expanded (or enlarged) reproduction"" [REF].",Business and Economy
33,"An important development was John Maynard Keynes' 1933 publication of the General Theory of Employment, Interest and Money.",Business and Economy
34,The first to visualize the modern circular flow of income model was Frank Knight in 1933 publication of The Economic Organization.[REF],Business and Economy
35,[we may view the] economic organization as a system of prize relations.,Business and Economy
36,# Measurement of National Income - National income is an estimation of aggregation of any of economic activity of the circular flow.,Business and Economy
